tb21_id,top1_source,top1_task_id,top1_score,top30_task_ids
password-recovery,TerminalWorld-Seeds-Clean,tw_18610,0.1187,tw_18610|task_003508_09ead467|rts_task_1e0b091dff2e97b0fed2afeb|rts_task_0be0a3ef0eb155e3dc090760|task_002787_f626842b|task_009912_1a947cac|tw_6636|task_000700_f3262f22|task_000786_cf9c026b|task_005771_c8bafeab|task_009258_e5e47520|task_008799_f9d60ee9|tw_126628|tw_644384|task_003280_ccd04de0|task_003292_6263b2a4|task_004458_e536c7fb|rts_task_a26b563f66ed449023f5406f|weaveworks__grafanalib.5c3b17ed.lm_rewrite__0jupbouz|task_003101_10b92351|task_009436_81067548|rts_task_2fca3ac770546ac1aec1e88a|task_001385_992e48d2|rts_task_ce14375338c0bb34b113caf8|task_004053_55dcade6|rts_task_299cfadf4b46b875ad2f5ffb|task_000957_0a574c0d|task_006708_dc271110|rts_task_6c66ee77bd74bb52f8432aca|rts_task_14723a04fd9db0451a0fdf78
path-tracing,TMax-15K,task_000682_adf5f08a,0.1098,task_000682_adf5f08a|task_000415_03323c43|task_002711_4332274c|task_005628_452913e7|task_000398_00bacf60|life4__textdistance.c3aca916.lm_rewrite__fyf67mz0|rts_task_da3c527bbfd238163723d4cf|rts_task_5aa260b36bbcdc781ff67d31|rts_task_3bbe05ae247d99dc4dff70a1|task_009440_eceee151|task_009975_60205c2e|task_001850_411bb89b|tw_247958|tw_117526|tw_177994|rts_task_2b4dcc21ce310c92502c3c2a|rts_task_ea72c40c08ffa47bea4dbfa1|rts_task_aaa60271d309add2f59617bf|tw_529592|rts_task_fca22897cb0153ac4030c3c8|rts_task_966d97470413cf6b19efebe6|rts_task_d9abd6defd93f90e9d046ab9|rts_task_5f1fc20736e1fc16c3f71a2b|rts_task_6927476c1f20085348953ee8|rts_task_7a940b727186a24e37b800b4|rts_task_bc421c213673485d42395b42|rts_task_5da1c60001546001dd8fda0e|rts_task_f23ef30db905cc616a97a621|amueller__word_cloud.ec24191c.combine_file__9bx7cdni|task_008009_06f03681
path-tracing-reverse,TMax-15K,task_000767_884d306c,0.0947,task_000767_884d306c|tw_177994|rts_task_bc421c213673485d42395b42|tw_241070|tw_120186|rts_task_354766409e9885e235d6704d|task_009125_cfb9b4c6|rts_task_e285012e5e183665ecb8076a|rts_task_14076f60cb25f0478e3cc31b|rts_task_6861502e405cdd21e5c3ce65|rts_task_966d97470413cf6b19efebe6|rts_task_6db724e4d66c7d1c39ace48a|rts_task_82f41a474f30938351465a8f|rts_task_6f40e5b3271004149ce42d09|task_004678_5f17891a|tw_104501|rts_task_57c4e1e8acc5cb7e796cf956|rts_task_70de1d8b0a87b337cf9d6872|rts_task_549d1fccca663947ef795605|rts_task_40b52138af3b3df2b810b507|rts_task_cd5785ab662d31c67dfdf586|rts_task_7ff5b11f964c4f3e4481bc02|rts_task_30b15b4bf772c285fd56afd0|rts_task_67a8167663085a7842b7a2d4|rts_task_924ada63336f777f196ea697|task_005349_29749d35|task_006560_2fb9f6b3|rts_task_6241a1f63be095dd8e31ede1|rts_task_025527e53aed88f4afb90237|rts_task_dd305b1a80136c819542d902
polyglot-c-py,TMax-15K,task_005942_dfc48f98,0.2368,task_005942_dfc48f98|tw_5976|tw_732042|rts_task_e098ae60730caf991e599d50|rts_task_902f635dd9e00b5199d88295|tw_713358|task_006029_c732f1f4|dataversioncontrol__dvc-680|tw_668460|rts_task_7fbf1fefd2425e35a489402a|scikit-build__scikit-build-core-764|rts_task_1ad73be05a7e461e31e0a4ec|tw_138882|tw_668448|rts_task_30c5c363ef5c32c2ecdcb98d|rts_task_cc7df3db8b60aecd02d7f6d7|rts_task_5e421a57e1b01c9336ff5ce3|rts_task_51a394f485648ed25d71803a|rts_task_a05520fd9ef3404cdc21734b|rts_task_ba3a1e6795dd78de3ee1a1bf|rts_task_599ece2405c66e1f3b558b68|task_003197_d026cba4|rts_task_a8b95b03c5f4569f8b533616|rts_task_9d15a5368a7d0f31576d9665|conan-io__conan.86f29e13.combine_module__ox7m3k6h|rts_task_44276c21186ef81ccf3e05b0|rts_task_d0be82fadfdaaf4b7e239a65|rts_task_c21890ad31ef22344bff7fd9|rts_task_61baac53caddc36f17b0c666|rts_task_7cc3abf702746bda4d308d02
polyglot-rust-c,TMax-15K,task_005942_dfc48f98,0.2612,task_005942_dfc48f98|tw_732042|tw_713358|task_006029_c732f1f4|dataversioncontrol__dvc-680|tw_138882|task_003197_d026cba4|rts_task_a8b95b03c5f4569f8b533616|rts_task_61baac53caddc36f17b0c666|task_003763_eb2942fc|rts_task_604d0beb2a3dd359def45824|rts_task_ac5d96b0d7b90183ffeec23e|rts_task_0b12b0f1cdae9e8a18788045|task_007980_a7753668|rts_task_5e439d838553ce70ccb084a4|Instagram__MonkeyType.70c3acf6.pr_106|rts_task_48c4507057707ef10d25fe0d|rts_task_b0fe3bbbea589e59d9ca24ca|rts_task_2a390749e128b09c26529da1|rts_task_52f8a3e88cd5dac258720a8c|task_004977_e261ad07|rts_task_895ad1cfe63cad399f3ded29|task_007811_9988b5a3|task_009186_76c4b82a|rts_task_8ee1d94fb80fbba5dedc3802|task_008538_91a69ee0|cs-si__eodag-634|rts_task_6e1bf19cf97e9327fb0fa560|rts_task_ccc6a2427e2ce4e1c85d3e03|rts_task_5f179bf20e80690d0e878855
portfolio-optimization,TerminalWorld-Seeds-Clean,tw_5976,0.1106,tw_5976|task_006852_ed049e83|task_002619_4df53207|task_001461_09a08047|task_002201_be4064d4|pallets__werkzeug-2971|rts_task_a8f87ef20a11f1bafb9c07c3|rts_task_7c488f5ad2f76e717996cf73|rts_task_63dba082202c21873a668a57|rts_task_db70538c20782e10a49b3bf3|rts_task_7ed56b3d0511b4696e0293b1|task_006206_2053adbc|task_004090_a7200d4e|task_009267_8611aeb0|rts_task_34821a88e0260b302e903cd3|rts_task_ec41f821319f7577b6524d61|rts_task_f8b7ce0583ab70bd7021ceda|rts_task_39fd718c5bd2f058600235c7|task_001884_3fec568a|rts_task_f3782cdd108e0cefd3937deb|rts_task_5db2d9b736aa1257cc3efd50|rts_task_d64c04c7088f9c16bfcdaf16|rts_task_76367f17ebdaebe264c838b8|task_000797_38ae7d94|rts_task_c578838e7f0d00f95da91c9b|rts_task_b90b8d996e5af40176a87ed5|task_002342_6735234d|rts_task_622d2430679b568e4c34fda2|rts_task_f323b205c9bcfdab6ce1fcc6|rts_task_7f0dd352a693a85bf612a846
protein-assembly,TMax-15K,task_004297_64995fff,0.1941,task_004297_64995fff|task_002848_91ec92d7|task_007665_7a6d1d13|task_005776_a772e4cb|task_004572_3cf77524|task_000735_671e45ed|task_001663_fd364d13|task_002677_e00b0197|task_002039_2bab5f00|task_005089_34711263|task_000888_971a54af|task_006416_cdefeeee|task_003627_cf2fa349|task_003994_70b7ef28|task_001544_7d95dda4|task_000020_bdaab293|tw_338534|task_003516_1f5ee49a|task_001826_61a53b6c|task_001637_9f4e9252|task_005970_1408c47b|task_007043_5f157c04|task_004897_47be8007|task_001557_043c2bda|task_006335_e3cda576|task_004787_07ded127|tw_569867|task_000755_94fd75d4|task_001153_3caae8f4|task_001176_320903cc
prove-plus-comm,Recursive-Task-Synthesis,rts_task_9bea742175cbc6b155920a37,0.2187,rts_task_9bea742175cbc6b155920a37|rts_task_6a291fe3091645e67df2e8fe|tw_283245|rts_task_ad7d91f8736c2607f4dd916b|rts_task_469ae9c3a2966eb3357a54fa|rts_task_062c48c4e03486aab7ff1909|rts_task_70973a62de04b95fa960a073|rts_task_d964e9090f1dde3103b00380|tw_96480|rts_task_482ba6c51a4ab19c748262c2|task_000528_cb64e762|rts_task_816f2229ebba71cf5423bab3|task_000666_87b50520|rts_task_72a2fd7e8dfc35de141a89a8|tw_179356|rts_task_fb7918d386a69ee2191693d3|rts_task_d8ef562f641dc17f8f5ec769|rts_task_395e1d895cc458c69556d056|rts_task_9395e863bbf47df9674e9ea1|tw_122689|rts_task_45bb2710a0a3e44ce59c0683|rts_task_092b83e799371cbc1a33974a|tw_102926|rts_task_99def5bc5295ed8354c9d53f|rts_task_4aee31bd770af1afd3859f85|rts_task_89dd55234beffb872fab5594|task_001537_d393b058|rts_task_5eb9edd8702740ef07b72933|tw_125661|rts_task_75cd110d98355f905efb192c
pypi-server,TerminalWorld-Seeds-Clean,tw_485539,0.1947,tw_485539|rts_task_736103bee673e04ab24a1b72|rts_task_aeeeefb3471b940d70ab8de3|task_002076_9218eac0|rts_task_57521db5f46dbc76c1bbdda0|task_001756_d8f5e8b4|rts_task_9173775e4fed0b1b6ea3bb20|rts_task_70ff71f74af760685fa4c933|rts_task_90cc157b700621a13838a6bc|rts_task_d054fd29e8c62e9f08c7202c|rts_task_1cc9889066e768be0ebd68d4|task_005283_33ecbb49|rts_task_c31d1fc34401d3715ebbd44e|rts_task_a4e296e7b44645ab4f7eea16|rts_task_7f4fd9a04408e198c5f9b6c3|rts_task_59b61f38c922b99ac38596f5|rts_task_48c4507057707ef10d25fe0d|task_001140_dbf205ee|rts_task_385516adcd6e0f35bde1d7bb|rts_task_ff5c3d832187bac6eff3d301|rts_task_a6e48a336f0f1a5509845861|rts_task_d9b574cc898967173493a396|rts_task_da086703260e25b7a720678c|task_004569_f6a1616c|task_005206_ef57c2a9|rts_task_5d09d254d2c995f8d4536cf9|task_007057_db8b3737|pypa__packaging-29|rts_task_65cae1dc6cbeec326b661dbb|task_008378_6c6d8f33
pytorch-model-cli,Recursive-Task-Synthesis,rts_task_f60bb1206c5e937c48ce045f,0.1462,rts_task_f60bb1206c5e937c48ce045f|task_008873_24721464|task_008706_debd496c|rts_task_81597cead6f4cbf4345a7122|rts_task_f43724d427c4953446ec893f|task_003057_bcf7f345|rts_task_bedc3c15c3630f27b7306674|rts_task_fb1d12831cf8eb8516cc9b8f|rts_task_22df3891b2862336a40d4ef8|rts_task_9b11e9cb44acf3189572d4df|task_000506_47ea1f1d|task_005480_f8c284ae|rts_task_a21326b78a1d0c61d50bac15|rts_task_ca80e7433838854010e1cb8b|task_005224_3e9e8c27|rts_task_94ecb21cdf99ed28a64d9afd|rts_task_18137d0ffd7557a4f477b823|rts_task_1016e013a4f73184faa89130|rts_task_803cacf499e49067e7cf92ce|rts_task_afc604416c595a32166b6731|tw_112619|rts_task_d7499b32e2276c0967b71950|rts_task_31e850d29f72501c0e90c2e4|rts_task_e584641a7a2297c53d1280de|rts_task_701f5d0306f50ec992604a56|rts_task_26d0677c30472133a90e22e2|rts_task_527a39f781ca86a6540dafee|rts_task_3d86dfac85bacda855c6b636|rts_task_0c2ce588b8a6ce071b9207fd|rts_task_5d6f73816a02eb45bebbecaf
pytorch-model-recovery,TMax-15K,task_008439_6d43da48,0.2081,task_008439_6d43da48|task_003841_7390d9d6|task_008162_e3ba09cb|task_008184_41132dcb|task_007553_2fb2ac2f|task_006677_2b2718e9|task_001912_cf98b52f|task_001561_d6785f7c|task_007296_a67e32b2|task_003915_9cae8761|task_001630_4e9b6449|task_009522_9717b44b|task_001128_e9f388a8|task_009562_91210c7c|task_000333_7a82aa70|task_000318_4bf545ba|rts_task_956ea2e372fe004edbe0d44d|task_008873_24721464|keras-team__keras-20079|task_000506_47ea1f1d|task_001661_0ee7751d|task_003101_10b92351|task_002763_b46c6d06|task_001478_86766644|task_003057_bcf7f345|task_006207_f0d5187c|pvlib__pvlib-python-486|tw_718060|task_005802_131d6e7d|task_005107_3ae8339b
qemu-alpine-ssh,TerminalWorld-Seeds-Clean,tw_12704,0.1968,tw_12704|tw_119284|tw_11181|task_008941_31480e11|tw_141360|task_005421_251b21b8|rts_task_325dd276e40f557ec1fb467e|rts_task_6b87c2663651fdc533a8e5d9|rts_task_1e9c192c0cc207dc2235958e|rts_task_59dfbdaf881f818b1632c421|rts_task_0d1cb1620555c6c095c010e7|task_005333_725792a3|task_003703_ca29dcaf|tw_14106|tw_11162|rts_task_280aff736f7ac4f1c1fc3e4d|rts_task_891370aca4e0449bfc126664|tw_203496|tw_138986|tw_647528|tw_436604|rts_task_c6ecf6bdda5da2c5b730d1ee|tw_420862|rts_task_0e743fc90f3a84db9bc0c2f6|rts_task_359a62b537f799ec54773078|rts_task_6fea0873672d6cc57dd5484e|tw_582841|tw_656648|rts_task_e78fc5133ee8e3730d48519e|rts_task_d61a7502db5bdee516c0fae7
qemu-startup,TerminalWorld-Seeds-Clean,tw_101115,0.2641,tw_101115|tw_371872|rts_task_8dd301485c9612e9464f0781|rts_task_951fc2873796056cb53bd4e0|rts_task_d93992a3c6883751d31ffd9e|yelp__mrjob-2155|rts_task_9d7286ac575ed1ebbe3d6e3d|rts_task_102ab8f1ca7d6ddbb0d8d616|toblerity__shapely-1166|rts_task_b74cd8832f0adbad7148b3bd|rts_task_d2e3487a33f44d23aade9abe|task_004406_70be516d|rts_task_5c0dad481ea3482509718e5d|rts_task_a40df849cf5afae5453d7362|task_008594_b36b9eee|rts_task_18ab215b0aec48a3d26e8967|tw_45843|tw_268653|quantum-accelerators__quacc-1689|task_003364_7646087e|rts_task_3180018d12c2115db1bf088c|tw_12221|tw_4289|tw_119177|tw_10916|tw_132013|task_002014_b19e562c|joerick__cibuildwheel-295|tw_333322|task_006672_5d83c56e
query-optimize,TMax-15K,task_001735_836a9caa,0.1512,task_001735_836a9caa|task_002785_d7d4d4b4|task_001597_03d2cbde|task_003440_e249953f|task_000313_d08fded9|kayak__pypika.1c9646f0.pr_754|task_000926_eb2b990a|task_000130_6b3152f5|task_003423_a7dc2a42|task_001401_aa4013a4|task_006928_07b803d0|task_004940_4d1405cf|task_007059_5c6e17fc|task_003534_099998a7|task_009604_bf89a3a5|task_001607_08572079|task_009914_b02f4573|task_007499_d063a294|kennethreitz__records.5941ab27.pr_219|task_009441_b54aa3f0|task_005276_694f4d8c|task_008902_254fbf8c|task_004328_99f1edc9|task_000902_c122671d|task_005093_10649346|andialbrecht__sqlparse.e57923b3.pr_792|task_008818_7feec650|task_006536_e25e210f|task_003259_74675a85|task_004210_342ace19
raman-fitting,TerminalWorld-Seeds-Clean,tw_125964,0.1746,tw_125964|task_001146_20c5477e|task_005046_e6febc94|asdf-format__asdf-1907|task_002039_2bab5f00|tw_125967|task_008367_eab4caa7|task_003934_41bb92d3|task_000607_a15537ed|task_001776_6e8891c7|task_000224_af397be3|task_007380_892c66e7|task_003567_2bffa97d|rts_task_925ce859c316190bc5378688|task_000144_8d5c2762|cantools__cantools.0c6a7871.combine_file__2yrjny26|pyg-team__pytorch_geometric-8870|openmdao__openmdao-3117|rts_task_a631ed73ecd7e14d208c058e|task_001166_e8fdcc29|rts_task_99e025e7103187f0293da506|task_004299_37b2252a|rts_task_8690479a938836d548277ae8|rts_task_52c8f8d12d27c34d82de6159|rts_task_18db482eeeb8213ba33aa736|task_008439_6d43da48|rts_task_3ec8503ff0252f0f1a70cbe0|task_001774_a1995f60|rts_task_f8bdd89969914a1ca93aabc9|tw_112619
regex-chess,TerminalWorld-Seeds-Clean,tw_114834,0.0987,tw_114834|adrienverge__yamllint.8513d9b9.combine_module__h5wq9xz0|pygments__pygments.27649ebb.pr_2367|tw_48144|pdfminer__pdfminer.six.1a8bd2f7.combine_file__cyuuf905|davidhalter__parso.338a5760.func_pm_remove_wrapper__8fki8qk0|roskakori__pygount-55|pallets__werkzeug-2596|tw_109958|pallets__werkzeug-2583|cool-RR__PySnooper.57472b46.lm_rewrite__uhr0jtpa|elastic__curator-1355|jsvine__pdfplumber.02ff4313.func_pm_ctrl_invert_if__2sl4zapi|task_005533_e067a61d|rts_task_e363a4c8849d8b522b2b6bd9|xgcm__xgcm-451|oscal-compass__compliance-trestle-1573|task_006751_d67f243d|rts_task_c07fa2980dc69528e95337b0|lepture__mistune.bf54ef67.pr_384|tox-dev__pipdeptree.c31b6418.func_pm_op_swap__hpq8oztj|pygments__pygments.27649ebb.combine_module__4f18zaiv|cantools__cantools.0c6a7871.func_pm_op_change_const__66td47t4|cloudtools__troposphere-2191|alecthomas__voluptuous.a7a55f83.func_basic__kx3dr7i7|rts_task_2aba27df85a5eb40300dd51d|rts_task_486a3fca3a2d0f9a4a87e1c0|john-kurkowski__tldextract.3d1bf184.lm_rewrite__xyp6lbg8|rubik__radon.54b88e58.func_pm_ctrl_shuffle__cah5yf8g|scrapy__scrapy.35212ec5.pr_5691
regex-log,SWE-Smith-Seeds-Clean,gweis__isodate.17cb25eb.combine_file__19ctjg4p,0.1100,gweis__isodate.17cb25eb.combine_file__19ctjg4p|tw_316426|john-kurkowski__tldextract.3d1bf184.lm_rewrite__xyp6lbg8|tw_137747|elastic__curator-1355|kurtmckee__feedparser.cad965a3.func_pm_ctrl_invert_if__x8nssdjv|rts_task_0b12114afd3e514f8030709d|rts_task_a45fff91226d1b02c4a69c6b|rts_task_ff7570c945ee2940af2626a9|rts_task_c07fa2980dc69528e95337b0|gweis__isodate.17cb25eb.lm_rewrite__j6o0746p|lepture__mistune.bf54ef67.pr_384|python-jsonschema__jsonschema.93e0caa5.lm_rewrite__7ovsexkl|tw_310042|pylons__waitress-232|rts_task_244793e13cf233364246bf07|cantools__cantools.0c6a7871.pr_630|rts_task_27ca1787958296e123f0ad12|rts_task_b69fe19eca735460e34b501d|rts_task_00f63897a2d3bac3f60636ec|rts_task_df30cb8e56b8f8521c00f5c2|jsvine__pdfplumber.02ff4313.func_pm_ctrl_invert_if__2sl4zapi|task_005731_375ceeab|rts_task_63be45e96c3c4ec52219b541|task_005995_123f9989|pallets__werkzeug-2583|getnikola__nikola.0f4c230e.lm_rewrite__rfsfo97m|oauthlib__oauthlib.1fd52536.pr_876|rts_task_75d28d9c14f7b6f0984e4323|sdv-dev__rdt-977
reshard-c4-data,SWE-Rebench-Tasks-Clean,hypothesisworks__hypothesis-2511,0.1011,hypothesisworks__hypothesis-2511|task_007913_8652baa9|sqlfluff__sqlfluff.50a1c4b6.func_pm_remove_loop__c7u6nz5o|task_003728_73b16e0c|task_001184_a414985a|task_005128_fceaaea5|rts_task_68510ecaf29a87970c9cf0ca|rts_task_d0828f447d9a56c5dc276400|kennethreitz__records.5941ab27.lm_rewrite__9giocolr|rts_task_6c7f0f8f8dc106a2ddc2ad79|tw_126385|dask__dask.5f61e423.lm_rewrite__ffikl1dk|rts_task_19a226223f54ad220dd322f5|rts_task_b8c8df2b69cf1e9e8a39a56b|task_009660_f31d1d7a|rts_task_53040b0a425e822aa87750b4|rts_task_bd3b67b43dfc19f957b9d386|wntrblm__nox-829|tw_115667|pallets__click-2006|rts_task_b923f79d6c7d4c612c3149b0|rts_task_8f15cddac857299b9062e6eb|rts_task_980436517d4a980e54bf49a9|rts_task_0ec9bfbc2adce08e22721fe7|rts_task_9acdf044ebdb5f706e82ec75|task_007247_9c2dbfde|rts_task_9912426e380a9f7c02142860|rts_task_8b2fc80a3ae74d18db8740ee|rts_task_7293857a52feb84edc1dc6ad|rts_task_e49993e2dcdc7445cfcba7fc
rstan-to-pystan,TMax-15K,task_005102_2c84eabc,0.1781,task_005102_2c84eabc|task_000421_7152a39e|pymc-devs__pymc-7637|task_004745_0e2059dd|task_006035_9660cf08|task_001096_7c9b703b|task_000371_d0ff3ecb|task_004616_d8e6ccb6|task_002098_e267701e|task_000144_8d5c2762|task_005309_e36db87c|task_000651_7d72ef55|task_000032_5b0167e2|task_004320_fed479b6|task_001150_4f7936f4|task_002379_03006284|task_007931_92cad251|iterative__dvc.1d6ea681.pr_10034|task_004978_eb8f7bc8|task_004913_37c049c4|task_004464_a6ba98bb|task_003604_654d2b8c|task_007167_48f7f308|task_006207_f0d5187c|task_003058_80b78b29|task_002916_546eb936|task_001175_247c0751|task_000517_14b0e0e6|task_008922_27541546|task_005921_ce284c44
sam-cell-seg,SWE-Smith-Seeds-Clean,amueller__word_cloud.ec24191c.func_pm_ctrl_shuffle__p0vuu6sd,0.1265,amueller__word_cloud.ec24191c.func_pm_ctrl_shuffle__p0vuu6sd|task_007910_5fab9681|task_007405_3980f419|task_005184_470a6a5e|rts_task_f5340334eeced3161593edcb|rts_task_67c427311a79494dfe4d81df|task_008528_d0c1b508|aws-cloudformation__cfn-lint-3060|tw_588262|rts_task_8b10590c47225fe177b24d01|task_004795_a9e1506c|rts_task_6207f81816ab06e645d67475|task_004370_89b728fa|jsvine__pdfplumber.02ff4313.lm_rewrite__fkldf5pb|jazzband__tablib-456|nipype__pydra-629|rts_task_25db4a7b5d90db0e3a44dc8c|jazzband__tablib-547|corteva__rioxarray-841|rts_task_c281df784fa01eb12421b997|theupdateframework__python-tuf-2273|rts_task_aba136ef983ea82780454a4a|rts_task_9b1c5338f8bd6249794a8f61|rts_task_321599cc6b9e32b8ebf39283|lepture__mistune.bf54ef67.combine_file__27rr3nzg|fatiando__harmonica-479|task_000333_7a82aa70|dask__dask.5f61e423.pr_10042|rts_task_b72905d136ae73c343ae9a08|rts_task_b5114d4e0b94b1cf2e8b3ecd
sanitize-git-repo,TMax-15K,task_003642_df95530a,0.1092,task_003642_df95530a|rts_task_556b124619e22fcdec4b9985|task_003667_7dcfdecb|task_009734_8e534722|rts_task_b9674bcd6a14ab03796cbc79|task_009922_76da3431|rts_task_fe1dad2b883b52a2186a1c2f|rts_task_5225025b5e8eabfdf5f529d5|rts_task_3e2000382d0340d0de1b1496|rts_task_05b2a8845b5824d253c5c0fb|rts_task_a0d1ab6fdefa6c764cae7d57|rts_task_a58e696374285d202bfa01bb|rts_task_c4e1f6ef62679135bf1d6bc3|rts_task_f60cb329cde5ff5be5aa84ac|rts_task_369b655ea4f680a0f478d8f3|relekang__python-semantic-release-397|rts_task_ef7c663c9c097a41d6f546ce|rts_task_8ccbe345bf5afb87db8e90a2|burnash__gspread.a8be3b96.lm_rewrite__75d3wnsw|task_000408_f3a34acb|rts_task_aca093753d34dc8802013d18|task_004283_d481fbe0|rts_task_05f4082a52e4b6d49f42b54e|task_002394_86b5b9f9|task_002299_6f1836ab|rts_task_8c15d140c5c138d0bbf2b101|task_002010_153c76ba|task_003387_76c0806d|rts_task_80b89550fdbe37b9ed2627f5|task_008346_85f1b8c6
schemelike-metacircular-eval,TerminalWorld-Seeds-Clean,tw_730164,0.1191,tw_730164|tw_272691|rts_task_0e92bb200446970ff85f2ffa|rts_task_6b41cc45db522b99dafc5963|rts_task_c3c9e68ddeaa4e33612ff70a|task_002653_9c3aaf3a|rts_task_ed97625c339b1c841e0d7714|tw_5976|tw_486189|tw_79006|rts_task_19637636f3243d85a8056879|rts_task_acf5c406787c09f4cae81ed3|rts_task_df6bf2c22827a24ceab505d3|rts_task_5c797dd0fac3704ea0abbb94|rts_task_32328275f848ec3f6f77d83f|task_009419_0f2bcf47|rts_task_a10e504398df3f952e6efa80|qiskit__qiskit-11249|tw_502404|py-pdf__pypdf2-813|task_002861_3db9dcf7|rts_task_2735ba7b622eb9d30259d387|rts_task_af498fe67306c049e15685fc|rts_task_041eaeb0d8c40b1ff33eb853|rts_task_f3fa634287288682d95ca154|rts_task_28a8cbc6ca837f3e2a2b75b4|rts_task_26b68a94ff578a3e79a12589|rts_task_da739c0b80910253645900c2|rts_task_81b50cd106c5d98c3f5c5b24|rts_task_ea19d461b92ae490eb068dff
sparql-university,TMax-15K,task_002768_e429cd24,0.1678,task_002768_e429cd24|task_007832_2ee82489|task_002275_ee3ffe16|task_008390_7cf200b3|task_002912_e1cb19ea|task_004291_f03b7fb9|task_003106_02efbc7f|task_003368_33b1cabd|task_002765_0d952750|task_002288_f8d37ea9|task_004668_3d4e7aa2|task_008153_0a3d60f3|task_005977_a76547f7|task_001237_c01311c4|tw_156798|task_000617_8f5395ac|task_008950_dfac4396|task_009026_7f790650|task_003647_1d9aa8cd|task_001530_30b634ca|task_006131_cb3f05c2|task_005093_10649346|task_004507_abde4ebc|task_006928_07b803d0|task_002964_7af5c97f|task_005360_5dd351a9|task_005287_7962ef60|task_006635_56f4eb74|task_006450_fc861758|task_000706_c338fab9
sqlite-db-truncate,TMax-15K,task_002296_f4e6520c,0.1686,task_002296_f4e6520c|task_004714_22f9ef02|task_000898_1cd67251|task_007835_b5e57156|task_001418_17a07cd7|task_006979_fa64fd8c|task_004107_eea2d446|task_007585_edee891b|task_008250_90e7f66f|task_000884_94db9cf6|task_003263_232850e1|task_008620_80d38da3|task_006039_946257e3|task_008701_807b2607|task_003316_b46b3bf3|task_004140_4ca49dff|task_004405_4c3e2693|rts_task_c4aa4dbd9021923bb776779d|task_002178_6a997140|task_006450_fc861758|task_009604_bf89a3a5|task_007131_9f10634f|rts_task_0250c6865584aa9a099c48d7|task_005615_513a9f01|task_005697_2f966eb8|task_007172_045a2bda|task_001505_5b764c96|task_000567_90d33d0b|task_004654_c9a1c3dc|task_000942_ace21638
sqlite-with-gcov,Recursive-Task-Synthesis,rts_task_4e4f335412bac19017ace64a,0.1313,rts_task_4e4f335412bac19017ace64a|task_000068_eaa46fa7|rts_task_aba0f65bec44d72f0815fdb0|rts_task_ca0d7b0c0dbad3a979f59186|rts_task_cb2f0a832cdbe041e1dcb58e|task_000206_a80ec63b|task_002962_179e56ba|task_003803_aa0d6657|task_004618_d562309e|task_001103_03d86736|cs-si__eodag-961|task_006722_26bae324|task_002216_ef245cf0|task_009616_c46f75ad|task_002120_cc8990e7|rts_task_e380fcbb98dc90137e63789e|rts_task_43286080dc479cc683e415c9|rts_task_ac5d96b0d7b90183ffeec23e|rts_task_1df84b29e9e927bebbc9605c|task_001825_5805360d|task_009142_c840dfba|task_009557_30502e21|rts_task_373152c85de1c8a46064afc2|rts_task_0ed5ad240f9761dc9e451711|task_000898_1cd67251|rts_task_14c34a1482ae3fe1797b564e|rts_task_cc7b59f01d61cd694365fc81|task_000977_df3863bc|rts_task_1d916741509c75deab29674b|rts_task_9b101d32b486eb8c10e5a7f1
torch-pipeline-parallelism,SWE-Smith-Seeds-Clean,facebookresearch__fvcore.a491d5b9.lm_rewrite__o8e26lfs,0.1529,facebookresearch__fvcore.a491d5b9.lm_rewrite__o8e26lfs|qiskit__qiskit-terra-9104|facebookresearch__fvcore.a491d5b9.lm_rewrite__m0xnjits|facebookresearch__fvcore.a491d5b9.lm_rewrite__lo7njclv|pyg-team__pytorch_geometric-8870|facebookresearch__fvcore.a491d5b9.func_pm_ctrl_invert_if__yvh7zjgj|facebookresearch__fvcore.a491d5b9.combine_module__zkwkfq69|facebookresearch__fvcore.a491d5b9.func_pm_ctrl_shuffle__bxcrms1f|task_005523_36faeb4e|facebookresearch__fvcore.a491d5b9.combine_module__uxncj1ip|pennylaneai__pennylane-5986|cornellius-gp__gpytorch-782|keras-team__keras-19937|facebookresearch__fvcore.a491d5b9.combine_file__fjezb8sp|keras-team__keras-20079|facebookresearch__fvcore.a491d5b9.lm_rewrite__mynbot4f|task_004163_cad12f07|task_001549_e32a54be|tw_718060|rts_task_01fe8c93ac1c36ac2eb554a7|cornellius-gp__gpytorch-656|task_003708_f6c7f9fc|facebookresearch__fvcore.a491d5b9.lm_rewrite__pcccevul|keras-team__keras-20550|task_000076_dbbf4aed|task_004048_8e56795e|stac-utils__stac-fastapi-729|task_004981_737b8214|facebookresearch__fvcore.a491d5b9.func_pm_op_swap__bybhuobu|task_002152_83b39322
